cultivo_std,n_registros,n_asegurados,hectareas,suma_ars,suma_usd
SOJA,382,108,48596.15,15284595500.0,8372353.199999999
TRIGO,248,117,33288.93,3004433496.0,10520205.4
GIRASOL,164,60,21874.3,3315793270.0,5091388.0
MAIZ,120,42,16752.5,2889898000.0,4127117.0
SOJA II,83,42,11339.5,746922600.0,3656588.0
CEBADA,60,19,10927.1,276150000.0,3089552.0
MAIZ II,96,31,10919.0,5445054000.0,1372896.4
CENTENO,6,6,775.0,0.0,108000.0
ARVEJA,16,8,741.0,0.0,309000.0
LENTEJA,20,10,648.0,109270000.0,239700.0
SORGO,5,4,309.0,60007500.0,182900.0
AVENA,5,3,163.0,23450000.0,20000.0
